Model,TBS2104
Firmware Version,v1.26.0
,
Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,8.00E-05
Filter Frequency,1.00E+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
2.00E-02,1.07305
2.01E-02,0.879297
2.02E-02,0.818359
2.02E-02,0.810547
2.03E-02,0.950781
2.04E-02,1.80781
2.05E-02,1.0418
2.06E-02,0.936328
2.06E-02,1.11016
2.07E-02,1.14141
2.08E-02,1.02422
2.09E-02,0.894531
2.10E-02,0.827734
2.10E-02,0.808984
2.11E-02,0.821094
2.12E-02,0.747656
2.13E-02,0.696484
2.14E-02,0.733984
2.14E-02,0.846094
2.15E-02,1.01484
2.16E-02,1.31523
2.17E-02,1.75
2.18E-02,1.99414
2.18E-02,2.64219
2.19E-02,3.08477
2.20E-02,3.42422
2.21E-02,4.02305
2.22E-02,5.23711
2.22E-02,6.23047
2.23E-02,6.06289
2.24E-02,4.6043
2.25E-02,3.63008
2.26E-02,3.05547
2.26E-02,2.63437
2.27E-02,2.36133
2.28E-02,2.07266
2.29E-02,1.79297
2.30E-02,1.46836
2.30E-02,1.32617
2.31E-02,1.20273
2.32E-02,1.05117
2.33E-02,1.00781
2.34E-02,0.938672
2.34E-02,0.98125
2.35E-02,0.970312
2.36E-02,0.937109
2.37E-02,0.917969
2.38E-02,0.858594
2.38E-02,0.773437
2.39E-02,0.724609
2.40E-02,0.719141
2.41E-02,0.715234
2.42E-02,1.66172
2.42E-02,0.925
2.43E-02,0.894922
2.44E-02,0.934375
2.45E-02,0.867969
2.46E-02,0.826953
2.46E-02,0.878125
2.47E-02,0.846094
2.48E-02,0.733203
2.49E-02,0.717187
2.50E-02,0.767969
2.50E-02,0.810156
2.51E-02,0.776953
2.52E-02,0.957031
2.53E-02,1.16094
2.54E-02,1.39336
2.54E-02,1.78906
2.55E-02,2.26016
2.56E-02,2.56641
2.57E-02,2.95742
2.58E-02,3.58633
2.58E-02,4.14844
2.59E-02,5.19766
2.60E-02,6.11562
2.61E-02,5.77734
2.62E-02,4.26602
2.62E-02,3.32344
2.63E-02,2.86211
2.64E-02,2.61523
2.65E-02,2.20547
2.66E-02,1.91328
2.66E-02,1.65742
2.67E-02,1.38945
2.68E-02,1.20039
2.69E-02,1.08359
2.70E-02,0.951562
2.70E-02,1.00352
2.71E-02,0.971484
2.72E-02,1.05312
2.73E-02,1.03945
2.74E-02,1.00703
2.74E-02,1.06289
2.75E-02,1.07969
2.76E-02,0.972656
2.77E-02,0.786328
2.78E-02,0.742187
2.78E-02,1.04687
2.79E-02,1.82383
2.80E-02,1.05781
2.81E-02,0.984766
2.82E-02,1.03828
2.82E-02,1.06953
2.83E-02,0.991406
2.84E-02,0.878906
2.85E-02,0.885156
2.86E-02,0.873437
2.86E-02,0.887109
2.87E-02,0.766406
2.88E-02,0.808984
2.89E-02,0.741016
2.90E-02,0.803906
2.90E-02,0.85
2.91E-02,1.10781
2.92E-02,1.52422
2.93E-02,1.79258
2.94E-02,2.32773
2.94E-02,2.7918
2.95E-02,3.19023
2.96E-02,3.74414
2.97E-02,4.91172
2.98E-02,5.74648
2.98E-02,5.52031
2.99E-02,4.22734
3.00E-02,3.3668
3.01E-02,2.84883
3.02E-02,2.36836
3.02E-02,2.16523
3.03E-02,1.8957
3.04E-02,1.52539
3.05E-02,1.35078
3.06E-02,1.21602
3.06E-02,1.0293
3.07E-02,0.959375
3.08E-02,0.887891
3.09E-02,0.987109
3.10E-02,0.981641
3.10E-02,1.03633
3.11E-02,1.08086
3.12E-02,0.967969
3.13E-02,0.789844
3.14E-02,0.871094
3.14E-02,0.744531
3.15E-02,0.708984
3.16E-02,0.775781
3.17E-02,1.72539
3.18E-02,0.872266
3.18E-02,0.933984
3.19E-02,0.992969
3.20E-02,0.913672
3.21E-02,0.833203
3.22E-02,0.835156
3.22E-02,0.792578
3.23E-02,0.794141
3.24E-02,0.727734
3.25E-02,0.769141
3.26E-02,0.751562
3.26E-02,0.807031
3.27E-02,0.871484
3.28E-02,0.953125
3.29E-02,1.29648
3.30E-02,1.56602
3.30E-02,2.03906
3.31E-02,2.3375
3.32E-02,2.7457
3.33E-02,3.3707
3.34E-02,3.79141
3.34E-02,4.66562
3.35E-02,5.61992
3.36E-02,5.34922
3.37E-02,3.91445
3.38E-02,3.02305
3.38E-02,2.51719
3.39E-02,2.30508
3.40E-02,1.99648
3.41E-02,1.68633
3.42E-02,1.46328
3.42E-02,1.25156
3.43E-02,1.07031
3.44E-02,1.02383
3.45E-02,0.953516
3.46E-02,0.975781
3.46E-02,1.01641
3.47E-02,1.05391
3.48E-02,0.998828
3.49E-02,1.01445
3.50E-02,1.0418
3.50E-02,1.1168
3.51E-02,0.913281
3.52E-02,0.763281
3.53E-02,0.824219
3.54E-02,0.990625
3.54E-02,1.93906
3.55E-02,1.06836
3.56E-02,0.891406
3.57E-02,0.980859
3.58E-02,1.08594
3.58E-02,1.01055
3.59E-02,0.953906
3.60E-02,0.84375
3.61E-02,0.903516
3.62E-02,0.927734
3.62E-02,0.779297
3.63E-02,0.786719
3.64E-02,0.691797
3.65E-02,0.766797
3.66E-02,0.938281
3.66E-02,1.08164
3.67E-02,1.35898
3.68E-02,1.68828
3.69E-02,2.12422
3.70E-02,2.50391
3.70E-02,2.88398
3.71E-02,3.46406
3.72E-02,4.47266
3.73E-02,5.36445
3.74E-02,5.04883
3.74E-02,3.76719
3.75E-02,3.14531
3.76E-02,2.60352
3.77E-02,2.25156
3.78E-02,1.95273
3.78E-02,1.69023
3.79E-02,1.45547
3.80E-02,1.31992
3.81E-02,1.18789
3.82E-02,1.14727
3.82E-02,0.976562
3.83E-02,0.953516
3.84E-02,1.00664
3.85E-02,0.985547
3.86E-02,0.962109
3.86E-02,1.16914
3.87E-02,0.999609
3.88E-02,0.926562
3.89E-02,0.874219
3.90E-02,0.853125
3.90E-02,0.717187
3.91E-02,0.832812
3.92E-02,1.83594
3.93E-02,0.892969
3.94E-02,0.996094
3.94E-02,1.10859
3.95E-02,0.944531
3.96E-02,0.921484
3.97E-02,0.885937
3.98E-02,0.89375
3.98E-02,0.857031
3.99E-02,0.787891
4.00E-02,0.795703
4.01E-02,0.866797
4.02E-02,0.739062
4.02E-02,0.839844
4.03E-02,0.975781
4.04E-02,1.04531
4.05E-02,1.38281
4.06E-02,1.76953
4.06E-02,2.10352
4.07E-02,2.50469
4.08E-02,3.02969
4.09E-02,3.52344
4.10E-02,4.30078
4.10E-02,5.14453
4.11E-02,4.79062
4.12E-02,3.56836
4.13E-02,2.76797
4.14E-02,2.31523
4.14E-02,2.0668
4.15E-02,1.77344
4.16E-02,1.52266
4.17E-02,1.3125
4.18E-02,1.1293
4.18E-02,0.996094
4.19E-02,0.982812
4.20E-02,0.858984
4.21E-02,0.938672
4.22E-02,0.927344
4.22E-02,0.982031
4.23E-02,1.10547
4.24E-02,1.06758
4.25E-02,1.11289
4.26E-02,1.17812
4.26E-02,0.951953
4.27E-02,0.851953
4.28E-02,0.815234
4.29E-02,1.07656
4.30E-02,2.06328
4.30E-02,0.992969
4.31E-02,0.991016
4.32E-02,1.04258
4.33E-02,1.21914
4.34E-02,1.13555
4.34E-02,1.05352
4.35E-02,0.927734
4.36E-02,0.911719
4.37E-02,0.970703
4.38E-02,0.996484
4.38E-02,0.830859
4.39E-02,0.808594
4.40E-02,0.776562
4.41E-02,0.798437
4.42E-02,0.880859
4.42E-02,1.20937
4.43E-02,1.4793
4.44E-02,1.88242
4.45E-02,2.21328
4.46E-02,2.66914
4.46E-02,3.23633
4.47E-02,4.16367
4.48E-02,4.95625
4.49E-02,4.63164
4.50E-02,3.51055
4.50E-02,2.81367
4.51E-02,2.41797
4.52E-02,2.0082
4.53E-02,1.76914
4.54E-02,1.49961
4.54E-02,1.35937
4.55E-02,1.11445
4.56E-02,1.05859
4.57E-02,0.856641
4.58E-02,0.920703
4.58E-02,0.979687
4.59E-02,0.994922
4.60E-02,1.03711
4.61E-02,1.18594
4.62E-02,1.20391
4.62E-02,1.0418
4.63E-02,0.948047
4.64E-02,0.867969
4.65E-02,0.829297
4.66E-02,0.679687
4.66E-02,0.813672
4.67E-02,1.92383
4.68E-02,0.873828
4.69E-02,1.0457
4.70E-02,1.12109
4.70E-02,1.06172
4.71E-02,0.917578
4.72E-02,0.917969
4.73E-02,0.863672
4.74E-02,0.866406
4.74E-02,0.801953
4.75E-02,0.783594
4.76E-02,0.841406
4.77E-02,0.791406
4.78E-02,0.759766
4.78E-02,0.813672
4.79E-02,0.897266
4.80E-02,1.2957
4.81E-02,1.55
4.82E-02,1.93789
4.82E-02,2.35742
4.83E-02,2.8293
4.84E-02,3.17734
4.85E-02,3.89414
4.86E-02,4.68633
4.86E-02,4.49336
