Model,TBS2104
Firmware Version,v1.26.0
,
Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,0.00016
Filter Frequency,1.00E+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Label,
TIME,CH1
1.01E-01,1.6416
1.01E-01,1.5459
1.01E-01,1.9043
1.01E-01,2.57129
1.02E-01,3.49316
1.02E-01,4.60059
1.02E-01,5.97168
1.02E-01,7.83203
1.02E-01,10.5312
1.02E-01,18.498
1.03E-01,15.8525
1.03E-01,11.4893
1.03E-01,8.7666
1.03E-01,6.43555
1.03E-01,4.74121
1.03E-01,3.36914
1.04E-01,2.59961
1.04E-01,2.02246
1.04E-01,2.00586
1.04E-01,1.75293
1.04E-01,1.66016
1.04E-01,1.51465
1.05E-01,2.03711
1.05E-01,2.79883
1.05E-01,3.76172
1.05E-01,4.90527
1.05E-01,6.33789
1.05E-01,8.16113
1.05E-01,11.7412
1.06E-01,18.1572
1.06E-01,14.5195
1.06E-01,10.7354
1.06E-01,8.02539
1.06E-01,5.98438
1.06E-01,4.1875
1.07E-01,2.9834
1.07E-01,2.31055
1.07E-01,1.86523
1.07E-01,1.74609
1.07E-01,1.52344
1.07E-01,1.46094
1.08E-01,1.74512
1.08E-01,2.21289
1.08E-01,3.07129
1.08E-01,4.04297
1.08E-01,5.32812
1.08E-01,6.80859
1.09E-01,8.87109
1.09E-01,13.5977
1.09E-01,15.5527
1.09E-01,13.1504
1.09E-01,10.0088
1.09E-01,7.49023
1.09E-01,5.54883
1.10E-01,3.8916
1.10E-01,2.87891
1.10E-01,2.11328
1.10E-01,1.83691
1.10E-01,1.62988
1.10E-01,1.52051
1.11E-01,1.47852
1.11E-01,1.77832
1.11E-01,2.36621
1.11E-01,3.16895
1.11E-01,4.35547
1.11E-01,5.83301
1.12E-01,7.56836
1.12E-01,9.85645
1.12E-01,13.3076
1.12E-01,17.957
1.12E-01,12.4482
1.12E-01,9.47168
1.13E-01,7.09277
1.13E-01,5.14746
1.13E-01,3.6416
1.13E-01,2.70312
1.13E-01,2.12305
1.13E-01,1.7959
1.13E-01,1.60352
1.14E-01,1.37402
1.14E-01,1.56348
1.14E-01,1.87891
1.14E-01,2.64941
1.14E-01,3.52148
1.14E-01,4.7832
1.15E-01,6.23535
1.15E-01,8.1709
1.15E-01,10.874
1.15E-01,19.1738
1.15E-01,16.3232
1.15E-01,11.7793
1.16E-01,9.00781
1.16E-01,6.58789
1.16E-01,4.78711
1.16E-01,3.44336
1.16E-01,2.41699
1.16E-01,1.97461
1.17E-01,1.67871
1.17E-01,1.42676
1.17E-01,1.38184
1.17E-01,1.60254
1.17E-01,2.01367
1.17E-01,2.89941
1.17E-01,3.83594
1.18E-01,5.14648
1.18E-01,6.58594
1.18E-01,8.58594
1.18E-01,12.2734
1.18E-01,18.6455
1.18E-01,14.7939
1.19E-01,10.9092
1.19E-01,8.32715
1.19E-01,6.06445
1.19E-01,4.24512
1.19E-01,3.10352
1.19E-01,2.17676
1.20E-01,1.76367
1.20E-01,1.53711
1.20E-01,1.37598
1.20E-01,1.40527
1.20E-01,1.62695
1.20E-01,2.29785
1.21E-01,3.06738
1.21E-01,4.23535
1.21E-01,5.58301
1.21E-01,7.22363
1.21E-01,9.28711
1.21E-01,14.1582
1.21E-01,16.0352
1.22E-01,13.5371
1.22E-01,10.2598
1.22E-01,7.75879
1.22E-01,5.6377
1.22E-01,4.02051
1.22E-01,2.85059
1.23E-01,2.12109
1.23E-01,1.68457
1.23E-01,1.36328
1.23E-01,1.33496
1.23E-01,1.375
1.23E-01,1.71777
1.24E-01,2.40137
1.24E-01,3.31152
1.24E-01,4.52637
1.24E-01,6.0498
1.24E-01,7.78027
1.24E-01,10.1406
1.25E-01,13.7529
1.25E-01,18.4229
1.25E-01,12.7041
1.25E-01,9.70801
1.25E-01,7.24121
1.25E-01,5.26367
1.25E-01,3.80566
1.26E-01,2.61621
1.26E-01,1.97363
1.26E-01,1.70117
1.26E-01,1.32324
1.26E-01,1.3125
1.26E-01,1.34766
1.27E-01,1.84473
1.27E-01,2.71875
1.27E-01,3.61719
1.27E-01,4.8125
1.27E-01,6.45801
1.27E-01,8.25977
1.28E-01,11.2119
1.28E-01,15.3877
1.28E-01,10.7461
1.28E-01,7.62207
1.28E-01,5.68555
1.28E-01,4.13086
1.29E-01,3.1084
1.29E-01,2.15332
1.29E-01,1.4707
1.29E-01,1.04199
1.29E-01,0.905273
1.29E-01,0.845703
1.29E-01,0.855469
1.30E-01,0.859375
1.30E-01,0.839844
1.30E-01,0.884766
1.30E-01,0.942383
1.30E-01,1.04004
1.30E-01,1.20508
1.31E-01,1.31836
1.31E-01,1.89746
1.31E-01,2.23926
1.31E-01,1.66504
1.31E-01,1.31152
1.31E-01,1.14844
1.32E-01,1.02539
1.32E-01,0.880859
1.32E-01,0.895508
1.32E-01,0.923828
1.32E-01,0.817383
1.32E-01,0.813477
1.33E-01,0.744141
1.33E-01,0.879883
1.33E-01,0.813477
1.33E-01,0.861328
1.33E-01,0.774414
1.33E-01,0.899414
1.33E-01,0.821289
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
